Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
191,Mike Fiers,29,MIL,14,10,0,71.2,15,5,9,1,1,.933,,,1,3,0,1.76,1.00,P
192,Stephen Fife,27,LAD,1,1,0,6.0,4,2,2,0,0,1.000,,,0,0,0,6.00,4.00,P
193,Alfredo Fígaro,29,MIL,6,0,0,8.2,2,1,1,0,0,1.000,,,0,0,0,2.08,0.33,P
194,Chone Figgins,36,LAD,17,12,9,114.0,42,9,32,1,3,.976,1,15,2,21,0,3.24,2.28,3B-2B-SS-OF
195,Doug Fister,30,WSN,25,25,1,164.0,37,15,21,1,0,.973,,,2,2,0,1.98,1.44,P
196,Yohan Flande,28,COL,16,10,0,59.0,14,6,8,0,0,1.000,,,-2,-7,0,2.14,0.88,P
197,Wilmer Flores,22,NYM,70,67,61,598.1,280,94,181,5,46,.982,2,4,-2,-4,-2,4.14,3.87,SS-2B-3B
198,Gavin Floyd,31,ATL,9,9,0,54.1,13,3,9,1,1,.923,,,0,0,0,1.99,1.33,P
199,Brian Flynn,24,MIA,2,1,0,7.0,1,1,0,0,0,1.000,,,0,0,0,1.29,0.50,P
200,Eric Fornataro,26,STL,8,0,0,9.2,3,1,1,1,0,.667,,,-1,-21,-1,1.86,0.25,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
201,Jeff Francis,33,CIN,1,1,0,5.0,1,0,1,0,0,1.000,,,0,0,0,1.80,1.00,P
202,Maikel Franco,21,PHI,16,14,13,129.1,62,31,30,1,5,.984,5,48,1,9,0,4.24,3.59,3B-1B
203,Jeff Francoeur,30,SDP,7,6,4,51.0,14,13,0,1,0,.929,-2,-47,0,0,0,2.29,1.86,OF
204,Kevin Frandsen,32,WSN,58,42,34,405.0,172,113,56,3,11,.983,-5,-15,-2,-5,2,3.76,2.86,OF-3B-2B-1B
205,Todd Frazier,28,CIN,156,155,141,1381.2,627,382,231,14,37,.978,8,7,3,3,1,3.99,3.67,3B-1B
