Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
195,Juan González,32,TEX,62,61,48,515.2,127,117,9,1,1,.992,-3,-8,2.20,2.03,OF
196,Jason Grabowski,26,OAK,4,3,2,27.0,6,6,0,0,0,1.000,0,4,2.00,1.50,OF
197,Tony Graffanino,30,CHW,64,55,46,501.2,213,65,138,10,23,.953,-1,-3,3.64,2.99,3B-2B-SS
198,Todd Greene,31,TEX,31,22,13,198.0,202,179,20,3,13,.985,-2,-12,9.05,6.42,C-1B-OF
199,Rusty Greer,33,TEX,27,25,19,227.0,46,44,0,2,0,.957,-3,-15,1.74,1.63,OF-1B
200,Seth Greisinger,26,DET,8,8,0,37.2,8,2,6,0,0,1.000,,,1.91,1.00,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
201,Ben Grieve,26,TBD,118,117,111,1039.1,258,249,6,3,2,.988,-8,-9,2.21,2.16,OF
202,Jason Grimsley,34,KCR,70,0,0,71.1,17,6,10,1,1,.941,,,2.02,0.23,P
203,Buddy Groom,36,BAL,70,0,0,62.0,7,3,4,0,0,1.000,,,1.02,0.10,P
204,Eddie Guardado,31,MIN,68,0,0,67.2,10,2,8,0,0,1.000,,,1.33,0.15,P
205,Aaron Guiel,29,KCR,61,53,49,492.0,125,114,5,6,1,.952,-6,-13,2.18,1.95,OF
206,Carlos Guillén,26,SEA,130,127,117,1113.0,522,200,304,18,68,.966,-5,-5,4.08,3.88,SS
207,Ricky Gutiérrez,32,CLE,93,92,84,797.1,455,167,277,11,66,.976,-9,-13,5.01,4.77,2B
208,Cristian Guzmán,24,MIN,147,143,133,1262.2,619,247,360,12,84,.981,-2,-2,4.33,4.13,SS
209,Travis Hafner,25,TEX,3,3,2,22.0,11,7,3,1,0,.909,0,-5,4.09,3.33,1B
210,Jerry Hairston,26,BAL,119,118,111,1043.2,608,232,365,11,75,.982,3,3,5.15,5.02,2B
211,John Halama,30,SEA,31,10,0,101.0,30,8,20,2,1,.933,,,2.50,0.90,P
212,Toby Hall,26,TBD,83,83,82,737.1,546,506,34,6,5,.989,2,3,6.59,6.51,C
213,Roy Halladay,25,TOR,34,34,2,239.1,65,22,41,2,1,.969,,,2.37,1.85,P
214,Shane Halter,32,DET,120,110,103,978.1,502,172,309,21,49,.958,2,2,4.42,3.88,SS-3B-OF-2B-1B
215,Josh Hancock,24,BOS,3,1,0,7.1,0,0,0,0,0,,,,0.00,0.00,P
216,Chris Haney,33,BOS,24,0,0,30.0,6,3,3,0,0,1.000,,,1.80,0.25,P
217,Aaron Harang,24,OAK,16,15,0,78.1,14,6,7,1,0,.929,,,1.49,0.81,P
218,Travis Harper,26,TBD,37,7,0,85.2,7,1,5,1,0,.857,,,0.63,0.16,P
219,Willie Harris,24,CHW,43,40,38,362.1,214,106,105,3,21,.986,4,12,5.24,4.80,2B-OF
220,Jason Hart,24,TEX,9,4,3,41.2,11,11,0,0,0,1.000,0,12,2.38,1.22,OF-1B
221,Shigetoshi Hasegawa,33,SEA,53,0,0,70.1,15,5,10,0,3,1.000,,,1.92,0.28,P
222,Bill Haselman,36,TEX,67,49,41,453.2,332,310,19,3,0,.991,-2,-5,6.53,4.91,C
223,Scott Hatteberg,32,OAK,91,88,43,721.1,847,768,74,5,77,.994,7,12,10.51,9.25,1B
224,LaTroy Hawkins,29,MIN,65,0,0,80.1,16,4,12,0,1,1.000,,,1.79,0.25,P
225,Rickey Henderson,43,BOS,54,45,38,407.1,92,83,4,5,0,.946,-1,-4,1.92,1.61,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
226,Mark Hendrickson,28,TOR,16,4,0,36.2,5,0,5,0,0,1.000,,,1.23,0.31,P
227,Óscar Henríquez,28,DET,30,0,0,28.0,2,0,2,0,0,1.000,,,0.64,0.07,P
228,Pat Hentgen,33,BAL,4,4,0,22.0,6,4,2,0,0,1.000,,,2.45,1.50,P
229,Félix Heredia,27,TOR,53,0,0,52.1,12,3,9,0,2,1.000,,,2.06,0.23,P
230,Dustin Hermanson,29,BOS,12,1,0,22.0,4,4,0,0,0,1.000,,,1.64,0.33,P
231,Adrián Hernández,27,NYY,2,1,0,6.0,0,0,0,0,0,,,,0.00,0.00,P
232,Orlando Hernández,36,NYY,24,22,0,146.0,30,8,22,0,0,1.000,,,1.85,1.25,P
233,Ramón Hernández,26,OAK,135,125,108,1100.2,853,788,58,7,12,.992,9,10,6.92,6.27,C
234,Roberto Hernández,37,KCR,53,0,0,52.0,11,6,4,1,1,.909,,,1.73,0.19,P
235,Runelvys Hernández,24,KCR,12,12,0,74.1,21,9,12,0,1,1.000,,,2.54,1.75,P
236,Alex Herrera,22,CLE,5,0,0,5.1,0,0,0,0,0,,,,0.00,0.00,P
