Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
165,Mike Difelice,37,NYM,15,9,6,84.0,76,71,3,2,0,.974,0,0,-1,-10,0,7.93,4.93,C
166,Scott Dohmann,28,COL,27,0,0,24.2,1,0,1,0,0,1.000,,,0,0,0,0.36,0.04,P
167,Melvin Dorta,24,WSN,5,2,1,33.0,14,1,12,1,0,.929,1,25,0,11,0,3.55,2.17,3B-SS
168,Ryan Doumit,25,PIT,39,37,20,300.0,307,279,24,4,22,.987,-2,-8,-4,-14,1,9.09,7.77,1B-C
169,Ryan Drese,30,WSN,2,2,0,8.2,1,0,1,0,0,1.000,,,0,0,0,1.04,0.50,P
170,J.D. Drew,30,LAD,135,131,108,1118.0,292,284,3,5,0,.983,-2,-2,8,8,-2,2.31,2.13,OF
171,Stephen Drew,23,ARI,56,52,50,480.1,228,74,149,5,35,.978,3,6,2,5,0,4.18,3.98,SS
172,Chris Duffy,26,PIT,77,75,74,671.2,173,166,4,3,2,.983,1,1,-6,-10,0,2.28,2.21,OF
173,Zach Duke,23,PIT,34,34,2,215.1,61,8,52,1,3,.984,,,9,8,0,2.51,1.76,P
174,Chris Duncan,25,STL,78,66,29,540.0,172,161,5,6,6,.965,2,5,-7,-15,0,2.77,2.05,OF-1B
175,Adam Dunn,26,CIN,158,158,122,1338.0,315,294,8,13,3,.959,-11,-10,-35,-31,-8,2.03,1.91,OF-1B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
176,Ray Durham,34,SFG,133,132,118,1138.2,624,272,341,11,82,.982,-1,-1,-6,-6,0,4.85,4.61,2B
177,Damion Easley,36,ARI,54,44,28,386.1,153,55,93,5,18,.967,-6,-17,-3,-9,0,3.45,2.47,SS-3B-2B-OF-1B
178,David Eckstein,31,STL,120,119,106,1029.0,547,178,363,6,87,.989,8,10,4,5,2,4.73,4.51,SS
179,Jim Edmonds,36,STL,104,96,79,833.0,275,266,6,3,5,.989,-2,-3,-5,-7,-2,2.94,2.59,OF-1B
180,Mike Edwards,29,PIT,3,2,1,19.0,5,2,3,0,0,1.000,1,44,1,82,0,2.37,1.67,3B
181,Joey Eischen,36,WSN,22,0,0,14.2,2,1,1,0,0,1.000,,,0,0,0,1.23,0.09,P
182,Jason Ellison,28,SFG,64,13,12,199.2,50,46,2,2,0,.960,-2,-11,4,24,2,2.16,0.75,OF
183,Alan Embree,36,SDP,73,0,0,52.1,9,4,4,1,0,.889,,,-3,-11,0,1.38,0.11,P
184,Edwin Encarnación,23,CIN,112,110,85,940.1,305,83,197,25,18,.918,-11,-14,-13,-16,0,2.68,2.48,3B-1B
185,Juan Encarnación,30,STL,148,139,113,1220.0,275,265,4,6,0,.978,-2,-2,6,5,-2,1.98,1.82,OF
186,Morgan Ensberg,30,HOU,117,106,100,975.0,322,80,230,12,25,.963,10,12,8,10,0,2.86,2.65,3B
187,Alex Escobar,27,WSN,23,19,14,176.2,64,62,1,1,0,.984,-5,-37,-10,-67,0,3.21,2.74,OF
188,Shawn Estes,33,SDP,1,1,0,6.0,0,0,0,0,0,,,,-1,-33,0,0.00,0.00,P
189,Johnny Estrada,30,ARI,108,103,97,924.2,736,683,50,3,11,.996,3,4,-2,-2,-1,7.13,6.79,C
190,Andre Ethier,24,LAD,109,99,88,895.2,186,172,8,6,1,.968,7,9,16,21,4,1.81,1.65,OF
191,Dana Eveland,22,MIL,9,5,0,27.2,2,0,2,0,0,1.000,,,-1,-7,0,0.65,0.22,P
192,Adam Everett,29,HOU,149,146,133,1292.1,688,202,479,7,105,.990,40,38,34,32,0,4.74,4.57,SS
193,Scott Eyre,34,CHC,74,0,0,61.1,9,1,8,0,0,1.000,,,-1,-3,-1,1.32,0.12,P
194,Brian Falkenborg,28,STL,5,0,0,6.1,1,0,1,0,0,1.000,,,-1,-32,0,1.42,0.20,P
195,Sal Fasano,34,PHI,50,42,32,365.2,294,265,26,3,2,.990,-3,-10,1,4,-1,7.16,5.82,C
196,Jeff Fassero,43,SFG,10,1,0,15.0,5,2,3,0,0,1.000,,,-1,-13,0,3.00,0.50,P
197,Pedro Feliciano,29,NYM,64,0,0,60.1,13,3,8,2,0,.846,,,-1,-3,0,1.64,0.17,P
198,Pedro Feliz,31,SFG,160,155,150,1385.1,474,121,332,21,31,.956,15,13,20,17,1,2.94,2.76,3B-SS-OF
199,Jared Fernández,34,MIL,4,0,0,6.1,2,0,2,0,0,1.000,,,0,0,0,2.84,0.50,P
200,Robert Fick,32,WSN,43,27,19,255.0,177,163,13,1,6,.994,-2,-11,-6,-28,0,6.21,3.91,C-1B-OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
201,Nate Field,30,COL,14,0,0,9.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
202,Prince Fielder,22,MIL,152,151,148,1319.1,1358,1259,88,11,113,.992,-12,-11,-22,-20,-6,9.19,8.86,1B
203,Steve Finley,41,SFG,130,103,100,973.1,293,287,5,1,1,.997,-4,-5,4,4,4,2.70,2.25,OF
204,Randy Flores,30,STL,65,0,0,41.2,9,1,8,0,1,1.000,,,2,10,0,1.94,0.14,P
