Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
174,Adam Duvall,29,TOT,108,91,69,827.0,245,228,15,2,10,.992,15,22,16,23,0,2.64,2.13,OF-1B-3B
175,Jarrod Dyson,33,ARI,62,56,48,504.0,136,130,4,2,2,.985,2,4,9,21,2,2.39,2.16,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
176,Sam Dyson,30,SFG,74,0,0,70.1,13,5,8,0,2,1.000,,,-2,-6,0,1.66,0.18,P
177,Adam Eaton,29,WSN,76,73,42,598.0,152,147,2,3,0,.980,-12,-23,-4,-8,0,2.24,1.96,OF
178,Carl Edwards Jr.,26,CHC,58,0,0,52.0,10,6,3,1,0,.900,,,-2,-8,0,1.56,0.16,P
179,Zach Eflin,24,PHI,24,24,0,128.0,29,7,20,2,1,.931,,,-1,-2,0,1.90,1.13,P
180,Jerad Eickhoff,27,PHI,3,1,0,5.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
181,A.J. Ellis,37,SDP,45,42,40,370.1,344,321,22,1,2,.997,2,6,-11,-35,-1,8.34,7.62,C-OF
182,Robbie Erlin,27,SDP,39,12,0,109.0,25,4,20,1,4,.960,,,1,2,0,1.98,0.62,P
183,Phil Ervin,25,CIN,70,56,45,508.1,117,111,3,3,0,.974,-11,-27,-6,-14,-2,2.02,1.61,OF-P
184,Eduardo Escobar,29,ARI,54,51,46,457.2,119,23,94,2,6,.983,1,1,-1,-3,-1,2.30,2.17,3B
185,Phillip Evans,25,NYM,6,4,1,34.2,14,10,4,0,0,1.000,0,-7,-1,-34,0,3.63,2.00,3B-1B-OF-2B
186,Jeurys Familia,28,NYM,40,0,0,40.2,5,2,3,0,0,1.000,,,0,0,0,1.11,0.13,P
187,Kyle Farmer,27,LAD,24,14,10,138.2,45,8,36,1,4,.978,1,10,2,17,0,2.86,1.83,3B-C-1B
188,Luke Farrell,27,CHC,20,2,0,31.1,1,0,1,0,0,1.000,,,-1,-6,0,0.29,0.05,P
189,Erick Fedde,25,WSN,11,11,0,50.1,10,4,6,0,0,1.000,,,0,0,0,1.79,0.91,P
190,Tim Federowicz,30,CIN,4,1,1,17.0,9,9,0,0,0,1.000,-1,-71,0,0,0,4.76,2.25,C
191,Michael Feliz,25,PIT,47,0,0,47.2,5,1,2,2,0,.600,,,0,0,0,0.57,0.06,P
192,Caleb Ferguson,21,LAD,29,3,0,49.0,5,1,4,0,0,1.000,,,-2,-8,0,0.92,0.17,P
193,Josh Fields,32,LAD,45,0,0,41.0,3,0,3,0,0,1.000,,,0,0,0,0.66,0.07,P
194,Brandon Finnegan,25,CIN,5,5,0,20.2,5,0,5,0,0,1.000,,,0,0,0,2.18,1.00,P
195,Jack Flaherty,22,STL,28,28,0,151.0,20,7,11,2,0,.900,,,1,1,0,1.07,0.64,P
196,Ryan Flaherty,31,ATL,46,33,26,320.1,88,35,51,2,8,.977,-1,-3,-3,-11,1,2.42,1.79,3B-1B-2B
197,Chris Flexen,23,NYM,4,1,0,6.1,5,1,4,0,1,1.000,,,1,32,0,7.11,1.25,P
198,Wilmer Flores,26,NYM,101,88,72,786.2,662,593,63,6,54,.991,-3,-5,0,0,0,7.51,6.19,1B-3B-2B
199,Pedro Florimón,31,PHI,32,9,7,128.2,65,21,42,2,12,.969,2,14,-4,-37,0,4.41,1.91,SS-2B-OF-P-3B
200,Dylan Floro,27,TOT,54,0,0,64.0,14,6,8,0,0,1.000,,,-1,-18,0,1.97,0.26,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
201,Tyler Flowers,32,ATL,76,70,61,617.0,634,596,37,1,2,.998,-1,-2,8,16,-1,9.23,8.33,C
202,Mike Foltynewicz,26,ATL,31,31,2,183.0,27,11,15,1,1,.963,,,1,1,0,1.28,0.84,P
203,Wilmer Font,28,LAD,6,0,0,10.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
204,Logan Forsythe,31,LAD,61,49,41,463.2,228,80,140,8,27,.965,3,8,2,5,2,4.27,3.44,2B-3B-1B
205,Dexter Fowler,32,STL,75,74,62,649.0,130,124,2,4,0,.969,-8,-15,-5,-9,-1,1.75,1.68,OF
