home_moneyline,away_team_abbr,date,home_team_abbr,home_score,away_score
,LAA,2012-03-28 16:05:00,CIN,5.0,4.0
,ARI,2012-03-28 16:05:00,MIL,7.0,1.0
,CLE,2012-03-28 16:05:00,CHC,2.0,0.0
,LAD,2012-03-28 16:05:00,SF,4.0,1.0
,SD,2012-03-28 16:05:00,CHW,2.0,13.0
,CHW,2012-03-28 16:10:00,COL,8.0,5.0
,PIT,2012-03-28 19:05:00,TB,6.0,4.0
,TEX,2012-03-28 21:05:00,KC,6.0,7.0
,SEA,2012-03-29 05:10:00,OAK,4.0,1.0
,ATL,2012-03-29 13:05:00,WAS,6.0,3.0
,MIN,2012-03-29 13:05:00,PIT,6.0,11.0
,STL,2012-03-29 13:05:00,MIA,3.0,1.0
,TB,2012-03-29 13:05:00,PHI,2.0,1.0
,TOR,2012-03-29 13:35:00,BOS,2.0,3.0
,CHW,2012-03-29 16:05:00,LAD,1.0,3.0
,CHC,2012-03-29 16:05:00,SD,12.0,11.0
,CIN,2012-03-29 16:05:00,MIL,3.0,9.0
,COL,2012-03-29 16:05:00,CLE,3.0,6.0
,KC,2012-03-29 16:05:00,LAA,11.0,8.0
,CLE,2012-03-29 16:10:00,ARI,5.0,4.0
,WAS,2012-03-29 18:05:00,DET,3.0,5.0
,HOU,2012-03-29 18:10:00,NYM,9.0,1.0
,BAL,2012-03-29 19:05:00,NYY,3.0,4.0
,SF,2012-03-29 21:05:00,TEX,2.0,6.0
,BOS,2012-03-30 13:05:00,MIN,7.0,9.0
,DET,2012-03-30 13:05:00,BAL,4.0,6.0
,MIN,2012-03-30 13:05:00,TOR,1.0,4.0
,NYM,2012-03-30 13:05:00,STL,4.0,3.0
,TB,2012-03-30 13:05:00,PIT,3.0,3.0
,ARI,2012-03-30 16:05:00,LAA,9.0,2.0
,CLE,2012-03-30 16:05:00,CIN,6.0,5.0
,LAD,2012-03-30 16:05:00,CHC,3.0,6.0
,MIL,2012-03-30 16:05:00,LAD,4.0,9.0
,HOU,2012-03-30 18:05:00,ATL,3.0,1.0
,MIA,2012-03-30 18:05:00,WAS,3.0,2.0
,ATL,2012-03-30 19:05:00,HOU,5.0,1.0
,PHI,2012-03-30 19:05:00,NYY,13.0,9.0
,CHW,2012-03-30 21:05:00,KC,7.0,2.0
,SF,2012-03-30 22:05:00,SD,8.0,7.0
,TEX,2012-03-30 22:10:00,COL,3.0,5.0
,BAL,2012-03-31 13:05:00,PIT,6.0,6.0
,BOS,2012-03-31 13:05:00,TB,7.0,7.0
,DET,2012-03-31 13:05:00,ATL,1.0,2.0
,NYY,2012-03-31 13:05:00,HOU,9.0,11.0
,NYM,2012-03-31 13:05:00,MIA,6.0,5.0
,PIT,2012-03-31 13:05:00,MIN,15.0,3.0
,STL,2012-03-31 13:05:00,WAS,2.0,6.0
,TOR,2012-03-31 13:05:00,PHI,5.0,8.0
,MIL,2012-03-31 15:05:00,SD,7.0,10.0
,LAA,2012-03-31 16:05:00,CHC,3.0,3.0
,ARI,2012-03-31 16:05:00,KC,3.0,10.0
,COL,2012-03-31 16:05:00,CHW,1.0,3.0
,LAD,2012-03-31 16:10:00,ARI,3.0,9.0
,CIN,2012-03-31 18:05:00,SF,2.0,10.0
,SD,2012-03-31 21:05:00,SEA,6.0,1.0
,TEX,2012-03-31 22:05:00,CLE,4.0,7.0
,HOU,2012-04-01 13:05:00,DET,4.0,2.0
,PHI,2012-04-01 13:05:00,ATL,7.0,7.0
,PIT,2012-04-01 13:05:00,TOR,1.0,3.0
,TB,2012-04-01 13:05:00,BAL,5.0,8.0
,WAS,2012-04-01 13:05:00,STL,1.0,2.0
,DET,2012-04-01 13:10:00,NYM,2.0,9.0
,NYY,2012-04-01 13:10:00,MIA,8.0,10.0
,MIN,2012-04-01 13:35:00,BOS,5.0,1.0
,ARI,2012-04-01 16:05:00,LAD,2.0,6.0
,CHW,2012-04-01 16:05:00,CIN,10.0,13.0
,CHC,2012-04-01 16:05:00,LAA,1.0,8.0
,KC,2012-04-01 16:05:00,SEA,6.0,4.0
,SD,2012-04-01 16:05:00,TEX,5.0,3.0
,SF,2012-04-01 16:05:00,MIL,7.0,4.0
,CLE,2012-04-01 16:10:00,COL,10.0,12.0
,DET,2012-04-03 12:05:00,TOR,13.0,8.0
,TB,2012-04-03 13:05:00,MIN,2.0,6.0
,NYY,2012-04-03 14:10:00,NYM,7.0,6.0
,BOS,2012-04-03 15:05:00,WAS,7.0,8.0
,MIL,2012-04-03 15:05:00,CHC,5.0,3.0
,SEA,2012-04-03 16:10:00,COL,9.0,8.0
,PIT,2012-04-03 19:05:00,PHI,7.0,2.0
,CHW,2012-04-03 20:05:00,HOU,1.0,5.0
,MIL,2012-04-03 21:40:00,ARI,5.0,3.0
,KC,2012-04-03 22:05:00,SD,2.0,1.0
,LAA,2012-04-03 22:10:00,LAD,4.0,1.0
